FICE_CODE,UNIVERSITY_NAME
001495,JACKSONVILLE UNIVERSITY
001497,JONES COLL-JACKSONVILLE
001499,FLORIDA METROPOLITAN UNIV
001500,BROWARD COMMUNITY COLLEGE
001501,LAKE CITY COMM COLLEGE
001502,LAKE-SUMTER COMM COLL
001504,MANATEE COMMUNITY COLLEGE
001505,LYNN UNIVERSITY
001506,MIAMI-DADE COMMUNITY COLL
001508,NORTH FLORIDA COMM COLL
001509,NOVA SOUTHEASTERN UNIV
001510,OKALOOSA-WALTON COMM COLL
001512,PALM BEACH COM. COLL
001513,PENSACOLA JUNIOR COLLEGE
001514,POLK COMMUNITY COLLEGE
001515,ROLLINS COLLEGE
001519,SANTA FE COMMUNITY COLL
001520,SEMINOLE COMMUNITY COLL
001521,SOUTHEASTERN COLLEGE ASSEMBLIES OF GOD
001522,SOUTH FLORIDA COMM COLL
001523,ST.JOHNS RIVER COMM COLL
001526,SAINT LEO UNIVERSITY
001528,ST. PETERSBURG COLLEGE
001531,STETSON UNIVERSITY
001533,TALLAHASSEE COMM COLLEGE
001535,UNIVERSITY OF FLORIDA
001536,UNIVERSITY OF MIAMI
001537,UNIV OF SOUTH FLORIDA
001538,UNIVERSITY OF TAMPA
001540,WEBER INTERNATIONAL UNIV
001541,ABRAHAM BALDWIN AGRI COLL
001542,AGNES SCOTT COLLEGE
001543,DALTON STATE COLLEGE
001544,ALBANY STATE UNIVERSITY
001545,AMERICAN INTERCONTINENTAL
001546,ANDREW COLLEGE
001547,ATLANTA CHRISTIAN COLLEGE
001549,ATLANTA COLLEGE OF ART
001551,CLARK ATLANTA UNIVERSITY
001552,ATLANTA METROPOLITAN COLL
001554,BAINBRIDGE COLLEGE
001555,THOMAS UNIVERSITY
001556,BEULAH HEIGHTS BIBLE COLL
001557,BRENAU UNIVERSITY
001558,CLAYTON COLL & STATE UNIV
001559,CHATTAHOOCHEE TECH COLL
001560,COLUMBIA THEOLOGICAL SEMINARY
001561,COASTAL GEORGIA COMM COLL
001562,GEORGIA PERIMETER COLLEGE
001563,EAST GEORGIA COLLEGE
001564,EMORY UNIVERSITY
001566,FORT VALLEY STATE UNIV
001567,GAINESVILLE COLLEGE
001568,INTERDENOMINATIONAL THEOLOGICAL CENTER
001569,GEORGIA INSTITUTE OF TECH
001570,SOUTHERN POLYTECHNIC ST
001571,GEORGIA MILITARY COLLEGE
001572,GEORGIA SOUTHERN UNIV
001573,GA SOUTHWESTERN STATE UN
001574,GEORGIA STATE UNIVERSITY
001575,GORDON COLLEGE
001577,KENNESAW STATE UNIVERSITY
001578,LAGRANGE COLLEGE
001579,MEDICAL COLLEGE OF GA
001580,MERCER UNIV MAIN MACON
001581,MIDDLE GEORGIA COLLEGE
001582,MOREHOUSE COLLEGE
001583,MORRIS BROWN COLLEGE
001585,NORTH GEORGIA COLLEGE
001586,OGLETHORPE UNIVERSITY
001587,PAINE COLLEGE
001588,PIEDMONT COLLEGE
001589,REINHARDT COLLEGE
001590,SAVANNAH STATE UNIVERSITY
001591,SHORTER COLLEGE
001592,SOUTH GEORGIA COLLEGE
001594,SPELMAN COLLEGE
001595,TIFT COLL (CLOSED 12/86)
001596,TOCCOA FALLS COLLEGE
001597,TRUETT MCCONNELL COLLEGE
001598,UNIVERSITY OF GEORGIA
001599,VALDOSTA STATE UNIVERSITY
001600,WESLEYAN COLLEGE
001601,STATE UNIV WEST GEORGIA
001602,GA COLLEGE & STATE UNIV
001604,YOUNG HARRIS COLLEGE
